,A,E,F,H,I,K,L,M,N,T,V,W,X,Y,Z
AP1_0032,78,10,46,80,80,37,58,42,13,0,43,24,65,20,61
AP1_0033,80,10,35,0,80,1,12,30,5,0,48,28,65,12,61
AP1_0034,80,39,60,80,80,42,58,5,13,0,48,28,0,12,33
AP1_0035,80,29,72,0,0,44,38,8,0,0,44,27,9,13,0
AP1_0036,78,39,64,80,80,69,46,11,45,0,44,32,0,61,0
AP1_0037,80,29,64,80,69,37,46,5,19,0,48,29,0,12,24
AP1_0038,80,10,11,0,0,23,12,5,5,0,0,28,0,12,18
AP1_0039,78,80,72,80,80,80,58,11,13,15,59,30,0,57,18
AP1_0040,78,10,35,0,50,39,12,9,5,0,41,21,65,12,49
AP1_0041,80,80,71,80,80,75,58,44,13,43,64,30,0,20,18
AP1_0042,64,0,35,0,50,37,13,25,0,0,41,9,65,12,43
AP1_0043,80,0,35,0,0,16,0,8,0,0,44,27,0,12,0
AP1_0044,78,40,64,80,80,54,46,5,8,0,7,29,0,12,0
AP1_0045,28,10,11,0,0,23,2,30,5,0,0,9,48,0,31
AP1_0046,80,10,11,0,0,23,12,5,5,0,0,28,0,12,18
AP1_0047,67,39,60,0,0,50,31,8,8,0,0,9,0,0,29
AP1_0048,77,39,33,80,24,56,80,6,80,0,12,57,1,0,34
AP1_0049,55,41,23,0,50,3,2,11,4,15,64,6,0,64,0
EP1_0000,70,80,56,80,80,45,65,5,33,80,32,71,14,12,37
EP1_0001,68,80,51,80,0,50,65,39,11,80,15,35,0,8,18
EP1_0002,66,80,52,80,24,60,80,49,80,80,32,77,15,46,37
EP1_0003,67,80,45,80,80,41,65,11,33,80,32,66,14,72,37
EP1_0004,65,80,45,80,13,54,65,11,33,80,20,52,14,45,37
EP1_0005,77,80,52,80,80,80,80,20,80,80,36,60,15,54,35
EP1_0006,80,80,55,80,50,50,65,70,11,80,54,38,0,57,23
EP1_0007,78,80,69,80,80,56,80,16,80,80,80,56,80,46,75
EP1_0008,70,80,45,80,80,77,80,55,37,80,32,56,14,20,37
EP1_0009,36,80,76,80,0,77,65,16,33,80,20,53,14,0,37
EP1_0010,71,80,52,80,67,38,65,49,33,80,32,77,14,20,37
EP1_0011,57,39,72,0,0,43,38,12,7,0,9,55,65,64,62
EP1_0012,78,80,56,80,80,37,80,49,80,80,32,63,15,80,37
EP1_0013,66,80,69,80,80,77,80,54,58,80,73,55,16,0,17
EP1_0014,78,80,65,80,80,67,80,5,80,80,39,55,80,0,75
EP1_0015,65,80,52,80,67,57,65,10,33,80,32,56,14,12,37
EP1_0016,68,80,80,80,67,77,65,14,33,80,80,74,14,72,34
EP1_0017,68,80,69,80,67,44,65,11,33,80,80,58,79,60,65
EP1_0018,73,73,56,80,67,38,65,16,33,80,32,80,14,12,37
EP1_0019,2,80,53,80,0,34,65,11,33,80,32,69,14,65,19
EP1_0020,63,39,44,80,80,52,65,1,33,0,12,71,0,12,34
EP1_0021,24,80,41,80,0,41,53,48,28,80,20,49,14,8,37
EP1_0022,66,80,52,80,80,34,65,44,33,80,32,71,14,21,37
EP1_0023,68,80,65,80,0,50,65,13,32,80,20,63,79,8,74
EP1_0024,45,80,45,80,50,50,65,80,33,80,78,59,14,80,42
EP1_0025,68,80,56,80,80,47,65,41,33,80,78,62,14,72,42
EP1_0026,78,69,68,80,80,57,80,14,80,80,14,77,15,20,31
EP1_0027,52,80,45,80,67,68,65,23,33,80,32,58,14,60,5
EP1_0028,80,80,80,80,0,71,80,19,78,80,80,65,79,69,75
EP1_0029,66,80,76,80,0,77,65,10,33,80,20,75,14,20,49
EP1_0030,17,80,52,0,37,77,65,44,7,80,73,40,14,8,26
EP1_0031,65,80,80,80,80,42,80,9,80,80,80,51,80,0,75
EP1_0032,80,80,80,80,0,76,80,53,69,80,32,64,12,65,30
EP1_0033,57,80,80,80,0,54,65,11,33,80,20,64,79,60,67
EP1_0034,15,51,8,0,0,16,12,12,5,80,20,1,14,0,21
EP1_0035,66,80,69,80,30,34,65,11,33,80,25,61,79,60,75
EP1_0036,15,65,52,0,0,51,30,43,11,80,20,0,14,34,3
EP1_0037,78,80,56,80,80,64,80,41,61,80,80,80,14,72,42
EP1_0038,40,80,52,80,56,61,65,46,33,80,80,63,14,0,19
EP1_0039,64,80,68,0,80,40,50,5,5,80,20,28,65,24,56
EP1_0040,57,80,76,80,0,73,65,44,33,80,32,56,14,8,37
EP1_0041,69,80,41,80,80,35,65,6,33,80,32,49,14,0,37
EP1_0042,74,80,56,80,0,61,65,19,33,80,32,80,1,72,34
EP1_0043,77,80,41,80,67,77,65,38,33,80,80,50,14,0,42
EP1_0044,78,80,76,80,80,37,80,8,80,80,80,46,65,20,66
EP1_0045,66,80,56,80,0,47,80,7,80,80,32,74,1,72,34
EP1_0046,29,80,28,80,11,34,80,6,67,80,32,56,14,60,3
EP1_0047,65,80,41,80,67,37,65,5,33,80,32,49,14,0,37
EP1_0048,76,80,56,80,0,61,65,16,33,80,32,80,14,72,37
EP1_0049,66,67,33,0,0,60,45,5,68,80,20,3,15,15,37
FP1_0000,68,70,56,80,30,51,53,50,28,80,20,73,14,68,19
FP1_0001,57,70,69,80,80,57,53,11,28,80,80,70,79,72,57
FP1_0002,30,36,48,80,0,34,53,7,28,0,0,50,0,60,16
FP1_0003,68,70,52,56,0,34,53,5,28,80,20,35,14,12,19
FP1_0004,38,70,56,80,0,38,53,11,28,80,20,73,14,60,19
FP1_0005,78,70,69,80,67,49,53,75,53,80,80,57,79,68,62
FP1_0006,68,70,64,80,67,23,44,39,4,17,55,21,65,20,38
FP1_0007,67,70,45,80,80,44,53,11,28,80,32,59,14,72,19
FP1_0008,66,70,80,80,67,54,53,11,28,80,80,70,79,72,36
FP1_0009,43,80,52,80,0,38,65,44,33,80,30,53,14,8,37
FP1_0010,46,70,73,0,26,50,53,44,12,80,73,52,79,8,57
FP1_0011,9,70,45,80,0,74,53,50,28,80,75,52,14,68,19
FP1_0012,2,64,33,0,0,38,12,5,16,80,20,0,14,0,19
FP1_0013,24,70,45,56,0,54,38,11,28,80,20,17,14,60,19
FP1_0014,68,70,76,80,30,54,53,39,28,80,20,35,0,8,10
FP1_0015,24,80,56,80,11,38,53,11,28,80,32,56,14,60,19
FP1_0016,68,70,56,80,30,38,53,5,28,80,20,70,14,0,19
FP1_0017,67,70,52,80,0,50,53,46,28,80,20,70,14,68,19
FP1_0018,62,70,41,80,80,37,53,5,28,80,32,49,14,0,19
FP1_0019,68,70,80,80,30,38,53,11,28,80,32,69,79,60,57
FP1_0020,68,70,80,80,67,54,53,50,28,80,32,71,79,68,57
FP1_0021,67,70,45,80,30,38,53,11,28,80,20,52,14,60,19
FP1_0022,46,70,25,80,80,45,68,10,59,80,32,52,14,60,3
FP1_0023,66,70,56,80,0,34,53,7,28,80,32,73,14,72,19
FP1_0024,66,70,45,80,80,62,53,50,28,80,80,65,14,80,19
FP1_0025,11,70,41,80,0,72,53,5,28,80,20,47,14,0,19
FP1_0026,68,70,52,80,30,38,53,5,28,80,20,54,14,15,19
FP1_0027,2,71,52,80,0,57,55,5,28,74,32,49,14,0,19
FP1_0028,59,67,70,0,80,30,19,5,12,80,73,70,79,12,57
FP1_0029,68,70,56,80,0,51,53,50,27,80,25,73,14,80,19
FP1_0030,66,70,65,80,0,54,53,48,28,80,29,52,63,34,57
FP1_0031,68,70,56,80,30,54,53,11,28,80,20,73,14,60,19
FP1_0032,65,70,56,80,11,38,53,44,28,80,34,70,14,21,19
FP1_0033,77,70,45,80,80,47,53,16,28,80,32,58,14,72,19
FP1_0034,80,70,52,80,30,44,53,10,28,80,20,76,14,0,19
FP1_0035,68,70,76,80,67,41,53,6,28,80,80,70,79,72,57
FP1_0036,24,57,40,21,0,40,43,7,28,15,20,19,0,60,16
FP1_0037,68,70,41,80,80,38,53,5,28,80,32,49,14,0,19
FP1_0038,66,70,65,80,67,51,53,5,28,80,80,54,79,0,51
FP1_0039,2,70,45,80,0,34,53,50,28,80,32,55,14,57,19
FP1_0040,66,70,80,80,0,50,53,11,28,80,20,73,14,60,19
FP1_0041,42,70,69,80,67,42,53,11,28,80,39,65,79,60,57
FP1_0042,66,70,41,80,67,38,53,44,28,80,32,55,14,20,19
FP1_0043,67,70,56,80,80,54,53,7,28,80,32,65,0,72,16
FP1_0044,66,70,52,80,80,63,53,5,28,80,32,70,14,13,19
FP1_0045,66,70,76,80,30,38,53,5,28,80,20,70,14,1,19
FP1_0046,66,70,52,80,67,38,53,44,28,80,34,70,14,20,19
FP1_0047,24,70,41,80,80,54,53,19,28,80,32,49,14,0,19
FP1_0048,40,80,80,80,0,54,53,21,69,80,32,49,14,45,3
FP1_0049,29,70,56,80,0,51,53,31,28,80,20,73,14,60,19
HP1_0000,65,70,65,80,80,34,53,5,28,80,80,49,79,1,57
HP1_0001,78,40,72,80,80,63,68,75,56,0,62,73,0,80,17
HP1_0002,75,70,56,80,80,69,66,44,59,80,32,76,14,20,8
HP1_0003,23,39,33,80,80,37,65,26,33,0,60,55,0,0,39
HP1_0004,74,40,59,80,80,57,68,45,75,0,67,49,66,8,59
HP1_0005,71,46,37,80,80,61,80,37,33,0,60,60,0,72,39
HP1_0006,68,80,76,80,80,73,55,30,33,80,78,57,14,20,32
HP1_0007,67,29,48,80,80,52,53,7,28,0,12,73,0,72,16
HP1_0008,78,70,65,80,67,37,55,15,32,80,68,49,77,0,48
HP1_0009,62,16,17,21,80,50,58,26,64,0,58,40,1,0,21
HP1_0010,74,40,22,80,80,34,53,29,41,0,60,50,0,0,21
HP1_0011,80,70,76,80,80,77,53,43,28,80,37,72,14,20,18
HP1_0012,62,70,33,80,80,29,68,6,75,80,80,49,15,0,3
HP1_0013,75,29,48,80,80,64,68,1,75,0,12,76,1,12,0
HP1_0014,80,36,44,80,80,60,68,3,75,0,60,76,1,12,19
HP1_0015,26,13,12,80,80,26,25,11,59,0,60,39,1,12,0
HP1_0016,59,29,26,80,80,36,55,15,32,0,58,58,0,72,21
HP1_0017,77,39,37,80,50,61,65,37,33,0,58,59,0,72,39
HP1_0018,80,39,48,80,80,57,65,76,33,0,60,73,0,80,17
HP1_0019,69,40,57,80,80,37,68,40,59,0,60,49,65,8,54
HP1_0020,62,29,29,80,80,37,68,32,75,0,12,55,1,0,21
HP1_0021,76,40,36,80,80,76,68,57,75,0,60,67,1,20,21
HP1_0022,80,39,44,80,80,64,53,1,32,0,60,70,0,12,19
HP1_0023,19,53,35,80,80,34,65,31,33,26,60,56,0,12,39
HP1_0024,79,80,44,80,80,50,65,10,33,80,73,68,0,57,41
HP1_0025,72,29,33,80,80,64,53,26,28,0,60,49,0,0,21
HP1_0026,78,39,57,80,67,77,53,65,28,0,48,15,0,0,15
HP1_0027,80,39,80,80,80,50,55,46,32,0,60,79,0,80,16
HP1_0028,80,29,61,80,80,80,68,44,75,0,60,50,65,0,54
HP1_0029,14,29,37,80,67,60,68,6,75,0,56,58,1,12,16
HP1_0030,77,29,57,80,80,38,53,13,28,0,60,68,65,12,35
HP1_0031,80,29,44,80,67,54,53,6,28,0,12,61,0,0,16
HP1_0032,76,70,44,80,80,76,68,60,62,80,80,67,14,20,8
HP1_0033,52,80,80,80,80,37,78,40,49,80,76,80,0,72,16
HP1_0034,12,39,33,80,0,57,80,31,37,0,12,56,0,0,39
HP1_0035,79,70,45,80,0,54,53,30,28,80,20,59,14,42,24
HP1_0036,23,36,33,80,80,37,68,26,75,0,60,56,1,0,21
HP1_0037,26,70,56,80,80,60,53,35,28,80,27,64,1,60,15
HP1_0038,10,70,65,80,0,53,53,36,28,80,80,49,79,0,57
HP1_0039,75,36,37,80,43,54,53,32,28,0,12,52,0,49,21
HP1_0040,78,39,68,80,80,58,80,65,80,0,60,68,1,20,39
HP1_0041,79,39,44,80,80,60,65,31,33,0,12,60,0,0,39
HP1_0042,54,39,72,80,80,73,55,71,49,0,48,68,0,68,39
HP1_0043,65,29,33,80,80,34,53,1,28,0,12,49,0,0,16
HP1_0044,21,67,41,80,11,57,55,1,73,57,12,49,0,0,16
HP1_0045,77,80,45,80,54,67,65,12,33,15,7,59,0,72,34
HP1_0046,77,29,44,80,80,60,68,8,34,0,53,32,0,12,3
HP1_0047,76,40,72,80,80,38,53,40,28,0,60,79,0,72,21
HP1_0048,77,29,72,80,80,64,66,33,53,0,60,37,0,12,5
HP1_0049,17,29,48,80,80,38,53,28,28,0,44,50,0,60,21
IP1_0000,48,0,35,80,80,10,44,0,15,0,48,5,56,0,38
IP1_0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP1_0002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP1_0003,45,12,17,80,80,29,46,0,62,0,26,15,0,0,0
IP1_0004,0,0,0,0,80,0,0,0,2,0,0,0,0,0,0
IP1_0005,23,13,5,80,80,34,56,0,50,0,17,76,1,12,0
IP1_0006,7,0,0,0,80,0,0,25,0,0,48,0,0,0,5
IP1_0007,12,0,0,24,80,3,2,0,47,0,22,16,0,0,0
IP1_0008,26,0,0,0,80,0,0,51,0,0,48,0,0,0,5
IP1_0009,53,29,57,80,80,37,66,0,59,0,24,70,0,12,10
IP1_0010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IP1_0011,66,29,33,80,80,37,53,1,28,0,12,50,0,0,16
IP1_0012,66,29,57,80,80,37,66,1,40,0,60,58,0,12,10
IP1_0013,5,0,0,0,80,0,0,18,0,0,48,0,0,0,5
IP1_0014,0,0,24,0,80,0,0,0,0,0,48,0,65,0,38
IP1_0015,23,0,3,80,80,3,29,0,8,0,48,20,0,12,0
IP1_0016,12,0,0,0,80,3,15,5,47,0,24,10,0,12,0
IP1_0017,11,13,0,80,80,3,38,0,36,0,17,49,0,0,0
IP1_0018,11,29,0,80,80,26,53,1,28,0,60,41,0,0,0
IP1_0019,68,29,49,80,80,37,46,0,49,0,60,3,0,0,0
IP1_0020,51,29,49,80,80,34,53,0,28,0,60,23,0,12,10
IP1_0021,59,29,41,80,80,37,46,0,62,0,60,3,0,0,0
IP1_0022,51,0,35,80,80,16,44,0,15,0,48,1,64,0,26
IP1_0023,0,0,24,0,0,0,0,0,0,0,48,0,56,0,38
IP1_0024,21,0,0,59,80,3,17,0,4,0,60,26,0,12,0
IP1_0025,52,39,41,80,80,37,58,0,67,0,60,6,0,0,2
IP1_0026,57,0,24,0,80,0,0,0,0,0,48,5,65,0,38
IP1_0027,23,13,5,80,80,3,40,5,47,0,17,32,0,12,0
IP1_0028,54,0,24,80,80,3,0,0,15,0,48,0,0,0,26
IP1_0029,12,0,0,0,50,3,2,3,4,0,46,6,0,12,5
IP1_0030,26,27,29,80,80,29,68,1,59,0,12,67,0,12,0
IP1_0031,23,13,5,80,80,3,27,0,48,0,60,6,0,0,0
IP1_0032,0,10,5,80,80,37,41,0,67,0,0,15,0,0,2
IP1_0033,0,0,5,80,80,37,44,1,59,0,12,36,0,0,10
IP1_0034,65,29,33,80,67,34,53,1,28,0,12,49,0,0,16
IP1_0035,23,0,0,80,80,3,27,3,4,0,48,5,0,0,5
IP1_0036,15,0,5,59,80,3,12,25,4,0,48,0,0,0,0
IP1_0037,51,70,57,80,80,37,44,0,28,15,80,6,0,11,34
IP1_0038,59,29,25,80,80,34,68,0,75,0,12,49,0,0,0
IP1_0039,66,20,49,80,80,37,44,0,17,0,48,5,11,0,26
IP1_0040,66,29,49,80,80,57,44,0,40,0,60,6,0,0,34
IP1_0041,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0
IP1_0042,47,0,24,0,80,0,0,0,0,0,48,5,17,0,12
IP1_0043,11,0,0,59,80,3,15,0,2,0,60,6,0,0,0
IP1_0044,11,8,0,80,80,31,53,0,17,0,12,49,0,0,0
IP1_0045,66,29,37,80,80,41,53,5,28,0,12,50,0,0,16
IP1_0046,63,0,30,80,80,0,27,0,4,0,48,14,65,12,38
IP1_0047,66,29,49,80,80,37,44,0,28,0,60,6,0,0,34
IP1_0048,68,29,49,80,80,37,55,0,59,0,60,19,0,0,0
IP1_0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KP1_0000,77,70,41,80,80,73,66,25,28,80,80,57,14,60,24
KP1_0001,5,67,29,0,0,77,54,20,28,26,60,52,0,0,21
KP1_0002,66,39,57,80,13,73,65,4,33,0,9,71,49,0,72
KP1_0003,60,43,7,24,80,77,58,18,20,80,73,46,0,21,21
KP1_0004,65,70,40,80,80,57,53,6,28,80,25,49,14,0,18
KP1_0005,80,63,52,80,80,76,68,9,75,80,80,76,14,20,22
KP1_0006,65,39,57,80,0,73,63,32,27,0,0,59,0,20,16
KP1_0007,68,29,68,80,0,73,53,1,28,0,0,69,0,12,34
KP1_0008,66,39,61,80,0,77,65,7,33,0,9,20,0,60,58
KP1_0009,77,70,41,80,80,73,53,33,28,80,68,54,14,26,24
KP1_0010,68,29,57,80,41,77,53,12,28,0,58,61,65,0,54
KP1_0011,66,29,57,80,67,72,53,1,28,0,60,69,65,12,54
KP1_0012,1,41,57,80,0,76,66,49,30,80,32,68,14,20,19
KP1_0013,79,29,44,80,80,80,68,7,75,0,12,77,1,20,16
KP1_0014,66,80,65,80,30,73,55,49,28,80,24,72,14,8,19
KP1_0015,41,67,46,12,80,73,68,21,32,26,48,67,0,20,21
KP1_0016,80,29,72,80,80,77,55,7,32,0,60,79,0,72,16
KP1_0017,80,80,65,80,80,71,55,10,33,80,68,61,79,12,75
KP1_0018,66,39,61,80,30,77,65,51,33,0,60,59,65,80,72
KP1_0019,4,39,57,80,0,80,80,1,80,0,0,48,1,0,34
KP1_0020,77,70,40,80,80,76,68,26,75,80,25,61,1,20,16
KP1_0021,78,29,68,80,80,73,53,56,28,0,60,36,0,12,15
KP1_0022,15,70,45,80,80,76,68,44,65,80,80,70,14,54,19
KP1_0023,68,39,68,80,0,73,55,40,32,0,16,76,0,20,28
KP1_0024,1,12,52,0,0,77,27,1,16,0,0,16,0,0,16
KP1_0025,66,29,68,80,30,73,53,9,28,0,7,70,65,0,48
KP1_0026,63,29,33,21,13,76,53,26,75,0,0,3,1,0,21
KP1_0027,24,39,33,80,11,80,80,4,80,0,12,50,1,0,34
KP1_0028,78,80,65,80,80,73,53,41,28,80,80,49,14,0,24
KP1_0029,67,70,59,80,80,76,66,16,59,80,80,57,63,0,57
KP1_0030,80,39,68,80,80,80,80,40,67,0,60,77,0,20,28
KP1_0031,68,39,60,80,0,73,46,8,9,0,0,21,0,0,12
KP1_0032,15,13,12,80,0,46,23,6,41,0,12,36,0,34,0
KP1_0033,77,29,33,80,0,77,66,6,28,0,0,59,0,12,16
KP1_0034,62,29,14,80,80,76,44,8,30,0,60,7,17,0,12
KP1_0035,68,39,72,80,67,66,53,46,28,0,60,73,65,60,54
KP1_0036,50,70,40,80,80,73,66,37,28,80,65,61,0,20,21
KP1_0037,69,29,37,80,67,77,53,3,28,0,12,52,0,0,16
KP1_0038,21,29,33,80,0,77,53,1,28,0,0,47,0,0,16
KP1_0039,72,67,46,80,80,80,68,40,59,26,12,76,0,20,16
KP1_0040,65,70,41,80,80,43,68,15,75,80,32,64,15,80,19
KP1_0041,77,71,41,80,17,77,67,19,33,74,20,70,13,20,37
KP1_0042,68,63,63,80,80,72,66,7,28,80,68,79,47,72,57
KP1_0043,66,39,57,80,0,72,65,6,33,0,0,63,65,0,60
KP1_0044,55,39,57,80,0,80,55,16,33,0,12,49,0,0,28
KP1_0045,0,39,33,80,0,76,80,1,80,0,12,50,1,0,34
KP1_0046,21,70,45,80,37,43,68,42,75,80,32,58,12,80,19
KP1_0047,68,39,68,80,41,77,55,1,28,0,0,70,0,0,10
KP1_0048,17,0,0,0,0,43,0,11,0,0,0,3,0,0,0
KP1_0049,65,39,33,80,80,74,65,9,33,0,12,50,0,0,34
LP1_0000,77,39,33,80,11,50,80,1,80,0,12,50,1,0,34
LP1_0001,9,39,37,80,0,64,80,5,80,0,12,50,1,0,34
LP1_0002,53,39,33,80,30,56,65,1,33,0,0,50,0,0,34
LP1_0003,65,39,33,80,80,34,80,1,80,0,12,50,1,0,34
LP1_0004,66,39,33,80,80,40,65,1,33,0,17,50,0,0,28
LP1_0005,62,39,33,80,11,34,65,1,33,0,12,50,0,0,34
LP1_0006,0,39,33,0,0,56,65,2,33,0,12,49,0,0,26
LP1_0007,77,39,33,80,80,59,80,1,80,0,12,50,1,0,34
LP1_0008,0,39,33,80,0,34,65,1,33,0,12,50,0,0,34
LP1_0009,66,29,60,80,41,7,56,0,9,0,5,22,0,0,8
LP1_0010,77,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0011,77,39,37,80,54,57,55,11,63,0,12,53,1,12,2
LP1_0012,9,39,33,80,80,60,80,1,80,0,12,50,1,0,34
LP1_0013,11,39,33,80,0,37,80,1,80,0,12,50,1,0,34
LP1_0014,23,39,33,80,0,45,65,1,33,0,12,51,0,0,34
LP1_0015,9,39,33,80,0,34,80,1,80,0,12,50,1,0,34
LP1_0016,77,39,33,80,67,37,80,1,80,0,12,50,1,0,34
LP1_0017,77,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0018,78,39,33,80,0,50,80,1,80,0,0,51,1,0,34
LP1_0019,78,39,33,80,30,61,80,1,80,0,0,73,1,0,34
LP1_0020,79,39,44,80,80,37,80,1,80,0,12,66,1,12,34
LP1_0021,74,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0022,50,80,45,80,30,34,65,7,33,80,20,53,0,60,34
LP1_0023,9,39,33,80,0,64,80,1,80,0,12,16,1,0,34
LP1_0024,0,39,33,80,0,34,65,1,33,0,12,50,0,0,34
LP1_0025,0,39,33,80,0,58,80,1,80,0,0,50,1,0,34
LP1_0026,9,38,33,21,0,42,55,1,80,0,12,0,1,0,34
LP1_0027,0,39,33,80,0,37,80,2,80,0,12,50,1,0,34
LP1_0028,78,39,33,80,80,80,80,2,80,0,17,50,1,0,28
LP1_0029,77,39,33,80,80,40,80,1,80,0,12,50,1,0,34
LP1_0030,66,39,60,80,30,34,56,0,22,0,7,27,0,0,18
LP1_0031,77,39,37,80,17,64,80,11,80,0,12,47,1,18,34
LP1_0032,50,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0033,78,39,33,80,80,50,80,1,80,0,12,50,1,0,34
LP1_0034,74,39,37,80,80,50,70,2,80,0,12,16,1,0,34
LP1_0035,9,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0036,62,39,40,80,80,29,80,4,80,0,12,51,0,0,0
LP1_0037,62,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0038,77,39,37,80,80,47,80,11,80,0,12,50,1,0,2
LP1_0039,9,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0040,77,39,33,80,80,37,80,1,80,0,12,50,1,0,34
LP1_0041,65,39,33,80,80,46,65,2,33,0,12,50,0,0,34
LP1_0042,0,39,33,80,0,37,80,1,80,0,12,50,1,0,34
LP1_0043,0,39,33,80,0,34,65,1,33,0,0,50,0,0,34
LP1_0044,75,39,33,80,80,37,80,1,67,0,12,50,1,0,34
LP1_0045,9,39,33,80,0,42,80,1,80,0,12,50,1,0,34
LP1_0046,78,39,33,80,50,80,80,1,80,0,12,15,1,0,34
LP1_0047,0,39,33,80,0,37,80,1,80,0,12,50,1,0,34
LP1_0048,9,39,33,80,0,37,80,1,80,0,12,50,1,0,34
LP1_0049,2,39,33,80,0,34,80,1,80,0,12,50,1,0,34
MP1_0000,43,2,45,0,0,60,12,76,16,0,4,12,65,68,59
MP1_0001,78,0,24,0,13,18,0,69,0,0,0,7,65,8,43
MP1_0002,63,70,56,80,0,37,68,75,75,80,80,78,15,80,24
MP1_0003,5,70,45,80,0,56,68,80,75,80,34,58,15,68,24
MP1_0004,24,80,45,56,0,77,65,80,33,80,20,55,14,68,42
MP1_0005,75,29,72,80,0,54,68,71,75,0,2,71,66,68,59
MP1_0006,0,3,45,80,0,54,24,75,28,54,80,52,14,68,36
MP1_0007,21,29,37,80,30,37,68,76,73,0,2,52,1,57,21
MP1_0008,3,29,72,80,0,57,53,70,28,0,60,73,65,80,59
MP1_0009,9,80,45,68,0,38,65,75,33,80,59,51,14,68,42
MP1_0010,18,29,61,80,30,38,68,71,75,0,9,52,66,68,59
MP1_0011,68,29,48,80,13,38,53,71,28,0,2,72,0,68,21
MP1_0012,65,39,48,80,0,42,65,71,33,0,2,74,0,68,39
MP1_0013,3,41,12,0,0,1,0,74,0,80,22,3,14,68,8
MP1_0014,38,80,56,80,0,80,65,80,33,80,31,80,1,80,23
MP1_0015,66,36,78,80,11,44,68,71,75,0,60,73,41,80,59
MP1_0016,9,80,68,56,0,71,40,71,33,80,15,17,65,68,77
MP1_0017,37,26,56,0,0,38,30,71,16,0,48,3,65,68,77
MP1_0018,9,70,45,80,0,35,53,80,28,80,80,58,14,80,24
MP1_0019,61,29,72,80,63,57,68,71,75,0,60,73,66,68,59
MP1_0020,0,38,43,80,0,34,53,71,28,0,41,52,0,68,21
MP1_0021,9,39,61,80,0,54,65,71,73,0,0,52,65,68,77
MP1_0022,75,9,51,0,0,43,24,75,28,80,30,73,14,80,24
MP1_0023,12,41,12,0,0,33,15,80,0,80,22,36,14,68,42
MP1_0024,16,67,63,80,80,57,53,76,28,0,60,53,65,68,59
MP1_0025,21,39,61,80,0,53,65,76,33,0,7,59,65,68,77
